region_id;gr_age;smaf;milieu;wgt;live_rpa;live_ri;live_chsld;supplier_public;supplier_profit;prof_svc;para_svc;helper_svc;wait;costk
1;1;11;rpa;0.0;1.0;0.0;0.0;1.0;0.0;14.521206533348597;37.36791081602082;12.279040827601984;0.0;0.03140238707833723
1;1;12;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.550083333333333
1;1;12;home;0.0;0.0;0.0;0.0;1.0;0.0;4.357669484115418;10.955220449079107;0.0;0.0;0.0
1;1;12;ri;8.0;0.0;1.0;0.0;1.0;0.0;2.868196681589834;83.80325683146388;46.603230188163174;0.0;0.98675
1;1;12;rpa;10.0;1.0;0.0;0.0;1.0;0.0;0.0;28.64396926911666;0.0;0.0;0.0
1;1;13;chsld;16.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;1;13;home;0.0;0.0;0.0;0.0;1.0;0.0;20.575076560556102;23.472829049599806;9.037760500167629;0.0;0.0
1;1;13;ri;4.0;0.0;1.0;0.0;1.0;0.0;2.5830594046764346;81.24437876027415;46.603230188163174;0.0;0.98675
1;1;13;rpa;0.0;1.0;0.0;0.0;1.0;0.0;14.521206533348597;37.36791081602082;12.279040827601984;0.0;0.03140238707833723
1;1;14;chsld;8.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;1;14;home;0.0;0.0;0.0;0.0;1.0;0.0;20.575076560556102;23.472829049599806;9.037760500167629;0.0;0.0
1;1;14;ri;8.0;0.0;1.0;0.0;1.0;0.0;0.798752704995588;69.11047803633711;46.603230188163174;0.0;0.98675
1;1;14;rpa;10.0;1.0;0.0;0.0;1.0;0.0;1.3635739122258068;80.72172062913214;0.0;0.0;0.0
1;2;1;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;1;home;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;71.41340083382966;0.0;0.0
1;2;1;ri;0.0;0.0;1.0;0.0;1.0;0.0;0.0;100.0;100.0;0.0;0.98675
1;2;1;rpa;130.0;1.0;0.0;0.0;1.0;0.0;95.10535545867585;10.892122882386317;87.38866999587665;0.0;0.08037015798354014
1;2;2;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;2;home;0.0;0.0;0.0;0.0;1.0;0.0;93.79585909980432;41.29420551755368;2.5095618322048616;0.0;0.0
1;2;2;ri;0.0;0.0;1.0;0.0;1.0;0.0;6.685914088620489;91.80149512716388;50.97791554657604;0.0;0.9867500000000001
1;2;2;rpa;50.0;1.0;0.0;0.0;1.0;0.0;76.23327124439052;34.61434812368953;7.1466574611795535;0.0;0.02294275358849667
1;2;3;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;3;home;4.0;0.0;0.0;0.0;1.0;0.0;7.776219178082192;58.962775564475635;0.0;0.0;0.0
1;2;3;ri;0.0;0.0;1.0;0.0;1.0;0.0;6.685914088620489;91.80149512716388;50.97791554657604;0.0;0.9867500000000001
1;2;3;rpa;10.0;1.0;0.0;0.0;1.0;0.0;10.36853500690144;0.0;0.0;0.0;0.0
1;2;4;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;4;home;28.0;0.0;0.0;0.0;1.0;0.0;10.805004566210046;12.706873199736023;8.185179258288105;0.0;0.0
1;2;4;ri;0.0;0.0;1.0;0.0;1.0;0.0;20.680064879056186;100.0;46.603230188163174;0.0;0.98675
1;2;4;rpa;60.0;1.0;0.0;0.0;1.0;0.0;16.790272148060613;55.69600742587677;27.963274624918462;0.0;0.12306489621082356
1;2;5;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;5;home;24.0;0.0;0.0;0.0;1.0;0.0;4.835372382301999;32.62006710310313;3.8373686933441307;0.0;0.0
1;2;5;ri;0.0;0.0;1.0;0.0;1.0;0.0;10.394426936900034;100.0;46.603230188163174;0.0;0.98675
1;2;5;rpa;20.0;1.0;0.0;0.0;1.0;0.0;3.5760266206534657;69.93490474217555;7.902469802280857;0.0;0.034778352645445834
1;2;6;chsld;0.0;0.0;0.0;1.0;1.0;0.0;100.0;100.0;100.0;0.0;1.5500833333333333
1;2;6;home;8.0;0.0;0.0;0.0;1.0;0.0;8.38473442333186;32.30170132766474;0.0;0.0;0.0
