;region_id;iso_smaf;gr_age;annee;prob
163;1;8;3;2017;0.3235758
164;1;8;3;2018;0.393994
165;1;8;3;2019;0.5580116
166;1;8;3;2020;0.6119158
167;1;8;3;2021;0.7385291
168;1;9;1;2015;0.4128203
169;1;9;1;2016;0.3727191
170;1;9;1;2017;0.4107279
171;1;9;1;2018;0.4989799
172;1;9;1;2019;0.6368875
173;1;9;1;2020;0.6984111
174;1;9;1;2021;0.8429214
175;1;9;2;2015;0.4128203
176;1;9;2;2016;0.3727191
177;1;9;2;2017;0.4107279
178;1;9;2;2018;0.4989799
179;1;9;2;2019;0.6368875
180;1;9;2;2020;0.6984111
181;1;9;2;2021;0.8429214
182;1;9;3;2015;0.4128203
183;1;9;3;2016;0.3727191
184;1;9;3;2017;0.4107279
185;1;9;3;2018;0.4989799
186;1;9;3;2019;0.6368875
187;1;9;3;2020;0.6984111
188;1;9;3;2021;0.8429214
189;1;10;1;2015;0.2778052
190;1;10;1;2016;0.2741053
191;1;10;1;2017;0.2441026
192;1;10;1;2018;0.3081138
193;1;10;1;2019;0.4763165
194;1;10;1;2020;0.5223289
195;1;10;1;2021;0.6304054
196;1;10;2;2015;0.2778052
197;1;10;2;2016;0.2741053
198;1;10;2;2017;0.2441026
199;1;10;2;2018;0.3081138
200;1;10;2;2019;0.4763165
201;1;10;2;2020;0.5223289
202;1;10;2;2021;0.6304054
203;1;10;3;2015;0.2778052
204;1;10;3;2016;0.2741053
205;1;10;3;2017;0.2441026
206;1;10;3;2018;0.3081138
207;1;10;3;2019;0.4763165
208;1;10;3;2020;0.5223289
209;1;10;3;2021;0.6304054
210;1;11;1;2015;0.5467805
211;1;11;1;2016;0.4915555
212;1;11;1;2017;0.6444577
213;1;11;1;2018;0.6939608
214;1;11;1;2019;1.0
215;1;11;1;2020;1.0
216;1;11;1;2021;1.0
217;1;11;2;2015;0.5467805
218;1;11;2;2016;0.4915555
219;1;11;2;2017;0.6444577
220;1;11;2;2018;0.6939608
