region_id;annee;nb_usagers_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;hrs_moy_etc_avd
9;2016;1057.667;45265.93;52644.33;1414.453;31.67199;37.99786;1.02093;.711511;.4160421;1429.21;1385.455;1385.455
9;2017;1074.333;48598.29;73846.79;57911.29;32.87685;50.19626;39.36434;.7345231;.4101908;1478.192;1471.161;1471.161
9;2018;1139;50875.04;83903.76;58300.3;34.35186;56.45952;39.23074;.7559338;.4231488;1480.998;1486.087;1486.087
9;2019;1209.25;55719.41;116310.3;96243.51;37.11825;74.58204;61.71453;.7579923;.4202212;1501.132;1559.495;1559.495
10;2015;125.4167;10795.54;8707.265;16449.3;7.087271;7.429086;14.03463;.8275025;.3718647;1523.23;1172.051;1172.051
10;2016;128.1667;10774.12;9057.438;15527.59;7.172745;6.720138;11.52065;.8235865;.3178792;1502.092;1347.805;1347.805
10;2017;126.6667;9805.076;16790.34;21779.51;6.843209;12.35326;16.02398;.7993735;.4365382;1432.818;1359.182;1359.182
10;2018;141.5;9159.068;18172.98;24958.04;6.016657;12.434;17.07636;.8191987;.447664;1522.285;1461.555;1461.555
10;2019;120.3333;7575.393;17664.66;14168.49;6.572433;12.73753;10.21654;.8367934;.4300135;1152.601;1386.82;1386.82
11;2015;1498.333;47131.66;129382.4;14106.02;31.23431;86.71409;9.454074;.5283173;.3396201;1508.971;1492.057;1492.057
11;2016;1487.167;57710.51;183960.5;16312.39;38.82086;123.176;10.92243;.6692423;.3492237;1486.585;1493.476;1493.476
11;2017;1422.25;60886.98;227918;16885.67;39.64117;153.0117;11.33612;.6890383;.3565196;1535.953;1489.545;1489.545
11;2018;1507.083;65385.5;287612.3;10885.88;42.96793;189.4734;7.171408;.7002122;.3891447;1521.728;1517.956;1517.956
11;2019;1724.583;70230.53;335715.9;33399.02;45.40139;226.4341;22.52702;.6903413;.3890092;1546.881;1482.62;1482.62
12;2015;2329.25;96254.39;151523;5311.125;65.90119;104.4758;3.662045;.7300366;.3574939;1460.587;1450.317;1450.317
12;2016;2398.333;97421.47;176912.7;3626.972;65.94893;120.4091;2.468565;.7359683;.3542988;1477.226;1469.263;1469.263
12;2017;2298.333;103668.6;224038.8;4128.515;69.43094;152.8575;2.816808;.7445385;.3755139;1493.119;1465.671;1465.671
