region_id;annee;nb_places;nb_installations;nb_usagers;tx_occupation;nb_etc_ri_avq;nb_etc_ri_avd;nb_etc_sad_inf;nb_etc_sad_avq;nb_etc_sad_avd;heures_tot_trav_ri_avq;heures_tot_trav_ri_avd;heures_tot_trav_sad_inf;heures_tot_trav_sad_avq;heures_tot_trav_sad_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;nb_en_attente;duree_attente;iso_smaf_attente1;iso_smaf_attente2;iso_smaf_attente3;iso_smaf_attente4;iso_smaf_attente5;iso_smaf_attente6;iso_smaf_attente7;iso_smaf_attente8;iso_smaf_attente9;iso_smaf_attente10;iso_smaf_attente11;iso_smaf_attente12;iso_smaf_attente13;iso_smaf_attente14;sans_iso_smaf_attente;age_en_attente0_64;age_en_attente65_74;age_en_attente75_84;age_en_attente85_94;age_en_attente95_plus
16;2015;0;0;2422;0;1089.9;484.4;41.41618;.14406;.0068596;1902966;845762.4;61084.63;204.2347;9.724825;.017823;.008602;.030312;.015483;.08901;.101053;.132053;.1795;.118256;.129955;.031379;.088942;.019922;.03771;1050;338.21943;.001905;.001905;.004762;.062857;.06381;.118095;.227619;.267619;.158095;.069524;.002857;.017143;0;0;.00381;.0657143;.1133333;.3095238;.4533333;.0580952
16;2016;0;0;2474.333;0;1113.45;494.8667;43.54514;4.868394;.0301631;1944084;864037.2;64954.59;7003.004;43.38851;.016772;.007443;.029537;.018557;.094032;.092853;.132527;.174963;.123367;.129564;.03314;.090024;.022262;.034959;1047;363.84069;.002865;.000955;.004776;.054441;.065903;.118434;.26361;.262655;.174785;.036294;.002865;.009551;0;0;.002865;.0659026;.1442216;.3094556;.4164279;.0639924
16;2017;0;0;2513.25;0;1130.963;502.65;41.58653;4.165417;.0022646;1974661;877626.9;61113.44;5838.532;3.174224;.01764;.005537;.027289;.018303;.095195;.095262;.135051;.188667;.135018;.123678;.025531;.083458;.019298;.030074;938;403.52324;.001066;.001066;.010661;.0629;.065032;.136461;.246269;.249467;.19936;.02452;.001066;.001066;0;0;.001066;.0586354;.1439232;.336887;.4072495;.0533049
16;2018;0;0;2537.333;0;1141.8;507.4667;47.9878;.7146303;0;1993583;886036.8;70629.45;993.2227;0;.016126;.005485;.028048;.019739;.093438;.095606;.141684;.195908;.125887;.119548;.031069;.081319;.01652;.029624;1050;383.10781;0;0;.005714;.049524;.062857;.139048;.252381;.246667;.211429;.027619;.000952;0;0;0;.00381;.0733333;.1304762;.3295238;.4047619;.0619048
16;2019;3162;207.1667;2512.083;.8241743;1130.438;502.4167;54.82127;2.134734;.1445301;1973744;877219.5;82453.88;3077.486;208.3583;.015624;.007862;.03251;.019008;.098292;.090761;.140919;.207464;.133223;.112855;.025112;.072085;.016487;.027799;979;378.57855;.003064;0;.00715;.048008;.074566;.122574;.261491;.261491;.192033;.027579;.001021;0;0;0;.001021;.0653728;.1358529;.3483146;.392237;.0582227
17;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.9;0;0;.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.190476;0;0;0;0;0;0;0;0;.238095;.571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.307692;0;0;0;0;0;0;0;.692308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.9;0;0;.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.190476;0;0;0;0;0;0;0;0;.238095;.571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.307692;0;0;0;0;0;0;0;.692308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
