region_id;annee;nb_usagers_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;heures_tot_trav_avd;nb_etc_avd;tx_hrs_dep_avd;tx_hrs_admin_avd;sal_avd;cout_hr_services_avd;tx_contrib_avd
14;2019;2884.583;.368944;.075776;.01378;.278781;.050036;.052058;.037238;.02574;.064018;.012278;.004016;.011093;.004998;.001242;190757.4;108.2312;.05621018;.10426816;21.04;25.06189;.3525285
15;2015;2820.167;.33618;.083003;.024585;.291472;.039537;.061048;.045742;.024023;.057768;.013888;.005762;.008421;.007062;.001507;220066.8;124.8606;.05097374;.09288506;19.3633;22.61699;.4411132
15;2016;2782.333;.32323;.086079;.022254;.288098;.059872;.049539;.045525;.025458;.064065;.008836;.00635;.011681;.005062;.003954;211008.9;119.7213;.05099327;.09292064;19.55;22.83649;.4144378
15;2017;3039.5;.332703;.078686;.025114;.271344;.058782;.061249;.039014;.023853;.071722;.01242;.007732;.011734;.004058;.00159;228717.4;129.7688;.05169013;.09444296;19.7383;23.11641;.3768585
15;2018;3174.25;.323541;.07062;.018508;.304245;.061904;.054107;.041926;.028616;.064923;.006458;.006668;.011052;.004726;.002704;224158.8;127.1823;.05534822;.10143706;20.3333;24.11407;.3644258
15;2019;3418.25;.326312;.072552;.012701;.29952;.055145;.050611;.046734;.028475;.071723;.014237;.008362;.009581;.002365;.001682;251928.3;142.938;.05621018;.10426816;20.6667;24.61719;.3262379
16;2015;5151.083;.370294;.076521;.020012;.255966;.055538;.042305;.039231;.031531;.065569;.014107;.011033;.007976;.006956;.002961;312279.7;177.18;.05097374;.09288506;21.7591;25.41531;.518757
16;2016;5029.5;.363721;.075438;.016238;.290768;.047536;.049259;.034811;.026129;.056417;.015674;.008119;.006611;.007688;.001591;291920.1;165.6284;.05099327;.09292064;22.1089;25.82554;.4935698
16;2017;5516.333;.349961;.073116;.020817;.286241;.047828;.05242;.040546;.022343;.066802;.011874;.009049;.007599;.007266;.004139;319470.5;181.2598;.05169013;.09444296;22.6556;26.53289;.4694802
16;2018;5570.583;.357144;.076772;.017159;.274582;.049247;.05167;.043233;.026284;.061888;.015633;.006343;.010113;.006822;.003112;324267.1;183.9813;.05534822;.10143706;23.1056;27.40175;.4438399
