region_id;annee;nb_places_pub;nb_installations;nb_places_nc;nb_etc_avq;nb_etc_inf;heures_tot_trav_avq;heures_tot_trav_inf;nb_usagers_pub;nb_usagers_nc;iso_smaf_pub1;iso_smaf_pub2;iso_smaf_pub3;iso_smaf_pub4;iso_smaf_pub5;iso_smaf_pub6;iso_smaf_pub7;iso_smaf_pub8;iso_smaf_pub9;iso_smaf_pub10;iso_smaf_pub11;iso_smaf_pub12;iso_smaf_pub13;iso_smaf_pub14;iso_smaf_nc1;iso_smaf_nc2;iso_smaf_nc3;iso_smaf_nc4;iso_smaf_nc5;iso_smaf_nc6;iso_smaf_nc7;iso_smaf_nc8;iso_smaf_nc9;iso_smaf_nc10;iso_smaf_nc11;iso_smaf_nc12;iso_smaf_nc13;iso_smaf_nc14;nb_en_attente;duree_attente;iso_smaf_attente1;iso_smaf_attente2;iso_smaf_attente3;iso_smaf_attente4;iso_smaf_attente5;iso_smaf_attente6;iso_smaf_attente7;iso_smaf_attente8;iso_smaf_attente9;iso_smaf_attente10;iso_smaf_attente11;iso_smaf_attente12;iso_smaf_attente13;iso_smaf_attente14;sans_iso_smaf_attente;age_en_attente0_64;age_en_attente65_74;age_en_attente75_84;age_en_attente85_94;age_en_attente95_plus;cout_fixe
2;2019;1225;20;20;601.56414;285.35315;850214.61;463392.92;1114.5;1.333333;0.002841;0.000299;0.002467;0.002019;0.006057;0.015179;0.03118;0.05892;0.090325;0.183042;0.163377;0.218185;0.136982;0.089128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.1875;0.0;0.75;0.0;38;62.142105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078947;0.289474;0.210526;0.315789;0.105263;0.0;0.0;0.0;0.131579;0.2368421;0.5263158;0.1052632;69462.0
2;2020;1225;20;20;762.75449;326.2204;1055812.2;522571.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;72.557576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.181818;0.272727;0.212121;0.333333;0.0;0.0;0.0;0.0;0.0606061;0.3333333;0.6060606;0.0;69462.0
3;2015;3414;46;0;2029.5408;942.28128;2728637.0;1433475.9;3372.417;377.0;0.003701;0.000686;0.007427;0.003309;0.01679;0.046768;0.029414;0.086943;0.139667;0.124789;0.109248;0.13724;0.150991;0.143025;0.001207;0.0;0.001006;0.003421;0.024145;0.043662;0.071831;0.117706;0.14668;0.189537;0.141449;0.112877;0.091549;0.05493;563;465.86394;0.0;0.0;0.0;0.005329;0.0;0.008881;0.031972;0.030195;0.182948;0.246892;0.161634;0.211368;0.0746;0.046181;0.0;0.0746004;0.1083481;0.294849;0.4404973;0.0817052;89589.0
3;2016;3523;46;0;2029.3739;961.19037;2733689.5;1478241.0;3334.333;375.4167;0.002746;0.000816;0.006284;0.003612;0.015959;0.039513;0.027192;0.089987;0.14145;0.126457;0.119752;0.137541;0.151991;0.1367;0.003563;0.0;0.000838;0.004192;0.012366;0.022637;0.064137;0.084469;0.160553;0.193041;0.169985;0.131;0.100817;0.0524;552;306.71449;0.0;0.0;0.0;0.001812;0.005435;0.014493;0.027174;0.043478;0.177536;0.226449;0.139493;0.201087;0.106884;0.056159;0.0;0.067029;0.1358696;0.2753623;0.4221014;0.0996377;89589.0
3;2017;3415;45;0;2110.1989;989.61224;2857408.8;1521710.1;3279.75;378.6667;0.003691;0.001281;0.00565;0.004671;0.015544;0.038873;0.028351;0.084677;0.130179;0.139395;0.119858;0.144619;0.15833;0.124881;0.00243;0.00243;0.0;0.005063;0.004455;0.027136;0.078777;0.069461;0.160996;0.18307;0.163224;0.143783;0.102876;0.056298;420;306.45;0.0;0.0;0.0;0.0;0.002381;0.011905;0.019048;0.030952;0.130952;0.247619;0.195238;0.216667;0.104762;0.040476;0.0;0.0571429;0.0952381;0.3357143;0.4166667;0.0952381;89589.0
3;2018;3379;46;0;2009.6116;994.88506;2738453.6;1547689.2;3152.25;396.1667;0.004197;0.001017;0.007846;0.002972;0.015119;0.033992;0.02698;0.086231;0.128278;0.146082;0.126245;0.153798;0.157056;0.110187;0.004925;0.0;0.0;0.008077;0.010244;0.020686;0.068164;0.072695;0.173956;0.177108;0.168046;0.152482;0.095745;0.047872;769;315.4684;0.002601;0.0;0.0;0.0;0.0013;0.0013;0.031209;0.03251;0.156047;0.226268;0.202861;0.180754;0.113134;0.052016;0.0;0.0585176;0.0897269;0.3120936;0.4395319;0.10013;89589.0
3;2019;3508;47;746;1956.2061;1005.3736;2681536.2;1602600.1;3139.167;406.75;0.003298;0.001754;0.007094;0.002827;0.013821;0.033741;0.035913;0.076905;0.124938;0.137869;0.141481;0.149439;0.160982;0.109939;0.001114;0.002229;0.002229;0.00873;0.010215;0.023588;0.077823;0.069651;0.134473;0.187221;0.16159;0.166048;0.106612;0.048477;831;280.39976;0.0;0.0;0.0;0.001203;0.002407;0.006017;0.031288;0.043321;0.149218;0.22864;0.197353;0.186522;0.105897;0.048135;0.0;0.0601685;0.0914561;0.3056558;0.4308062;0.1119134;89589.0
3;2020;3595;47;746;2262.0856;1034.5367;3144187.0;1667248.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;914;326.38818;0.0;0.0;0.001094;0.001094;0.001094;0.010941;0.035011;0.047046;0.149891;0.222101;0.207877;0.19256;0.105033;0.026258;0.0;0.0448578;0.1170678;0.2964989;0.4277899;0.1137856;89589.0
4;2015;2564;37;0;1342.11;580.56502;1874327.1;900394.54;2306.083;4.166667;0.001409;0.000325;0.00224;0.003216;0.006938;0.018249;0.021537;0.048134;0.12037;0.113468;0.141799;0.147075;0.208759;0.16648;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.24;0.24;0.06;0.0;0.06;0.24;0.12;113;112.44956;0.0;0.0;0.0;0.0;0.0;0.0;0.017699;0.017699;0.079646;0.238938;0.212389;0.185841;0.141593;0.106195;0.0;0.0265487;0.1150443;0.3539823;0.4247788;0.079646;70703.0
4;2016;2552;37;0;1343.7102;588.65995;1872320.6;916558.15;2297.833;3.416667;0.001487;0.000689;0.001269;0.003626;0.008776;0.016464;0.02466;0.034379;0.109447;0.123481;0.134397;0.158513;0.198803;0.184007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.340426;0.255319;0.0;0.148936;0.0;0.255319;93;117.68387;0.0;0.0;0.0;0.0;0.0;0.010753;0.053763;0.0;0.096774;0.16129;0.215054;0.225806;0.150538;0.086022;0.0;0.0860215;0.0752688;0.344086;0.4301075;0.0645161;70703.0
