region_id;iso_smaf;gr_age;inf1avq0;inf0avq1;inf1avq1;inf0avq0;AVD
1;5;3;0;1;0;0;.1092526
1;13;3;1;0;0;0;.0232008
1;8;3;0;0;1;0;.1096469
1;12;3;0;0;1;0;.102112
1;2;3;0;0;0;1;1
1;4;3;0;0;1;0;.1315389
1;9;3;0;0;0;1;1
1;3;3;0;0;0;1;1
1;9;3;0;1;0;0;.1310774
1;12;3;0;1;0;0;.1017417
1;14;3;0;0;1;0;.102112
1;7;3;0;0;0;1;1
1;8;3;1;0;0;0;.0250754
1;14;3;1;0;0;0;.0232008
1;7;3;0;1;0;0;.1092526
1;5;3;0;0;0;1;1
1;12;3;0;0;0;1;1
1;8;3;0;0;0;1;1
2;4;1;1;0;0;0;.3488915
2;11;1;0;0;0;1;1
2;9;1;0;1;0;0;.6530821
2;10;1;0;0;0;1;1
2;9;1;1;0;0;0;.3488915
2;14;1;0;1;0;0;.5006742
2;3;1;0;0;0;1;1
2;7;1;0;1;0;0;.5662386
2;11;1;0;0;1;0;.5141633
2;2;1;0;0;1;0;.6410592
2;4;1;0;0;1;0;.6652071
2;7;1;1;0;0;0;.2709102
2;13;1;0;0;0;1;1
2;8;1;0;0;0;1;1
2;3;1;0;0;1;0;.6410592
2;3;1;1;0;0;0;.3250768
2;2;1;1;0;0;0;.3250768
2;10;1;1;0;0;0;.2709102
2;9;1;0;0;1;0;.6652071
2;3;1;0;1;0;0;.628548
2;4;1;0;1;0;0;.6530821
2;1;1;1;0;0;0;.3250768
2;1;1;0;0;0;1;1
2;5;1;0;1;0;0;.5662386
2;6;1;0;0;1;0;.6652071
2;10;1;0;1;0;0;.5662386
2;13;1;0;0;1;0;.5141633
2;14;1;0;0;0;1;1
2;9;1;0;0;0;1;1
2;8;1;1;0;0;0;.2709102
2;6;1;0;0;0;1;1
2;14;1;0;0;1;0;.5141633
2;10;1;0;0;1;0;.5794442
2;5;1;0;0;1;0;.5794442
2;1;1;0;0;1;0;.6410592
2;5;1;0;0;0;1;1
2;2;1;0;1;0;0;.628548
2;14;1;1;0;0;0;.2220373
2;7;1;0;0;1;0;.5794442
2;12;1;0;0;1;0;.5141633
2;12;1;0;0;0;1;1
2;4;1;0;0;0;1;1
2;7;1;0;0;0;1;1
2;12;1;0;1;0;0;.5006742
2;1;1;0;1;0;0;.628548
2;8;1;0;0;1;0;.5794442
2;13;1;0;1;0;0;.5006742
2;11;1;0;1;0;0;.5006742
2;6;1;1;0;0;0;.3488915
2;13;1;1;0;0;0;.2220373
2;11;1;1;0;0;0;.2220373
2;6;1;0;1;0;0;.6530821
2;8;1;0;1;0;0;.5662386
2;12;1;1;0;0;0;.2220373
2;2;1;0;0;0;1;1
2;5;1;1;0;0;0;.2709102
2;5;2;0;1;0;0;.4936398
2;3;2;0;0;1;0;.5715067
2;11;2;0;0;1;0;.4414462
2;5;2;1;0;0;0;.2172147
2;2;2;1;0;0;0;.2645406
2;7;2;0;1;0;0;.4936398
2;6;2;0;1;0;0;.5843489
2;12;2;0;0;1;0;.4414462
2;1;2;1;0;0;0;.2645406
2;11;2;0;0;0;1;1
2;12;2;1;0;0;0;.1756942
2;6;2;0;0;1;0;.5973952
2;9;2;0;0;1;0;.5973952
2;6;2;0;0;0;1;1
2;11;2;1;0;0;0;.1756942
2;11;2;0;1;0;0;.4281835
2;10;2;0;0;1;0;.5071319
2;8;2;0;1;0;0;.4936398
2;3;2;0;0;0;1;1
2;7;2;0;0;0;1;1
2;4;2;0;0;1;0;.5973952
2;4;2;0;1;0;0;.5843489
2;1;2;0;0;1;0;.5715067
2;13;2;0;1;0;0;.4281835
2;4;2;1;0;0;0;.2857984
2;14;2;0;0;1;0;.4414462
2;14;2;0;1;0;0;.4281835
2;3;2;1;0;0;0;.2645406
2;9;2;0;1;0;0;.5843489
2;9;2;1;0;0;0;.2857984
2;12;2;0;0;0;1;1
2;10;2;0;0;0;1;1
2;13;2;1;0;0;0;.1756942
2;13;2;0;0;1;0;.4414462
2;5;2;0;0;0;1;1
2;5;2;0;0;1;0;.5071319
2;8;2;1;0;0;0;.2172147
2;2;2;0;0;0;1;1
2;1;2;0;0;0;1;1
2;14;2;1;0;0;0;.1756942
2;10;2;1;0;0;0;.2172147
2;7;2;1;0;0;0;.2172147
2;14;2;0;0;0;1;1
2;6;2;1;0;0;0;.2857984
2;1;2;0;1;0;0;.5582418
2;2;2;0;1;0;0;.5582418
2;4;2;0;0;0;1;1
2;10;2;0;1;0;0;.4936398
2;2;2;0;0;1;0;.5715067
2;9;2;0;0;0;1;1
2;3;2;0;1;0;0;.5582418
2;12;2;0;1;0;0;.4281835
2;13;2;0;0;0;1;1
2;8;2;0;0;1;0;.5071319
2;7;2;0;0;1;0;.5071319
2;8;2;0;0;0;1;1
2;13;3;0;0;0;1;1
2;11;3;0;0;1;0;.2956034
2;6;3;0;0;0;1;1
2;13;3;0;1;0;0;.2844906
2;14;3;0;1;0;0;.2844906
2;12;3;0;0;1;0;.2956034
2;7;3;0;1;0;0;.3410832
2;9;3;0;0;0;1;1
2;11;3;0;1;0;0;.2844906
2;8;3;0;0;1;0;.3533151
2;14;3;1;0;0;0;.1016682
2;7;3;0;0;0;1;1
2;6;3;0;0;1;0;.4406795
2;8;3;0;1;0;0;.3410832
2;2;3;0;1;0;0;.4015529
2;4;3;0;0;0;1;1
2;5;3;1;0;0;0;.1284201
2;4;3;0;0;1;0;.4406795
2;2;3;0;0;1;0;.4145889
2;3;3;0;0;0;1;1
2;10;3;0;0;1;0;.3533151
2;14;3;0;0;1;0;.2956034
2;13;3;1;0;0;0;.1016682
2;11;3;0;0;0;1;1
2;1;3;0;1;0;0;.4015529
2;11;3;1;0;0;0;.1016682
2;8;3;0;0;0;1;1
2;9;3;0;1;0;0;.4274221
2;4;3;1;0;0;0;.1752442
2;1;3;1;0;0;0;.1603631
2;2;3;1;0;0;0;.1603631
2;12;3;0;1;0;0;.2844906
2;1;3;0;0;1;0;.4145889
2;1;3;0;0;0;1;1
2;10;3;0;1;0;0;.3410832
2;12;3;0;0;0;1;1
2;2;3;0;0;0;1;1
2;13;3;0;0;1;0;.2956034
2;5;3;0;0;0;1;1
2;5;3;0;0;1;0;.3533151
