region_id;annee;nb_places;nb_installations;nb_etc_inf_sad;nb_etc_avq_sad;nb_etc_avd_sad;hrs_inf_sad;hrs_avq_sad;hrs_avd_sad;nb_usagers_tot;nb_usagers_m65_ans;nb_usagers_65_74_ans;nb_usagers_75_84_ans;nb_usagers_85p_ans;nb_usagers_sad;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
5;2015;11213;133;13.09834;45.39551;.3923633;22594.63;78307.26;676.8267;8342;244;1122;3097;3879;2171.417;.7439579;.2602993;.09909;.042138;.046744;.154354;.085965;.124535;.107533;.148981;.077062;.057758;.019841;.024945;.007675;.003377
5;2016;11513;129;12.5008;46.01739;.4030295;21563.89;79379.99;695.2258;8333;227;1077;2944;4085;2350.333;.7237905;.2820513;.102042;.036803;.039356;.141824;.082471;.142356;.106297;.155935;.069494;.059991;.020884;.029712;.00936;.003475
5;2017;11992;124;13.37951;44.36919;.4212937;23079.65;76536.85;726.7317;8734;221;831;3203;4479;2283.25;.7283189;.2614209;.09077;.03387;.032227;.131501;.089237;.13245;.113398;.155152;.089383;.064309;.027592;.028578;.007081;.004453
5;2018;12321;125;15.91595;81.4006;8.866507;27455.02;140416;15294.72;8775;223;863;3140;4549;2545.667;.7121987;.2901044;.087927;.037122;.03758;.15163;.081282;.131367;.116145;.158603;.07791;.057123;.021867;.025992;.011425;.004026
5;2019;12096;119;14.50525;128.2652;7.479882;25021.56;221257.5;12902.8;8651;201;865;3062;4523;2818;.7151951;.3257427;.094866;.035841;.035161;.148805;.088508;.141146;.114561;.150047;.065768;.061125;.023746;.026319;.007748;.006358
6;2015;33629;217;20.47963;117.3803;8.072828;35327.35;202481;13925.63;23723;690;3050;9125;10858;3126.917;.7054328;.1318095;.15212;.045679;.032647;.297924;.05474;.148362;.045865;.08624;.064307;.019695;.013378;.0214;.01146;.006183
6;2016;34717;214;23.81902;147.0576;8.622993;41087.8;253674.4;14874.66;24879;675;3017;9371;11816;3687.333;.716623;.1482107;.137905;.039324;.030284;.294793;.056364;.159691;.044296;.093112;.063415;.024272;.016362;.022216;.012566;.005401
6;2017;34847;211;27.61124;216.4593;11.4173;47629.39;373392.2;19694.85;25697;676;3112;9792;12117;4125.75;.7374236;.1605538;.12123;.035933;.03161;.275707;.054616;.16595;.055525;.106163;.072007;.022481;.013109;.022683;.015735;.007251
6;2018;36432;209;30.24028;247.1526;15.12113;52164.49;426338.2;26083.95;25881;668;3218;9836;12159;4195;.7103919;.162088;.118911;.031108;.031506;.263687;.060528;.157032;.05294;.119388;.08087;.024851;.014303;.024732;.01321;.006933
6;2019;34996;204;30.39034;290.8073;14.38464;52423.34;501642.5;24813.51;26047;672;3137;9712;12526;4258.5;.744285;.1634929;.136844;.03268;.029392;.266389;.057767;.150855;.050742;.12207;.071367;.022876;.015988;.023619;.014363;.005049
7;2015;5054;65;3.405234;17.86402;.4929382;5874.029;30815.44;850.3183;3483;64;452;1550;1417;755.5833;.6891571;.2169346;.076762;.036065;.067718;.261167;.066284;.180765;.050072;.116025;.085916;.020845;.012573;.017095;.005625;.003088
7;2016;4842;65;3.743236;21.47617;.4863295;6457.082;37046.39;838.9183;3876;77;522;1723;1554;886.3333;.8004957;.2286722;.095243;.03742;.049079;.239376;.060549;.177134;.064592;.113953;.088097;.024727;.012881;.017676;.015607;.003667
7;2017;4924;67;3.974577;23.01233;.2043203;6856.145;39696.28;352.4525;3819;54;503;1659;1603;938.3333;.7755889;.2457013;.080462;.027442;.041918;.194583;.07833;.180639;.080462;.12984;.095115;.028863;.022202;.020249;.013233;.006661
7;2018;5506;69;4.007329;28.82463;.1036266;6912.642;49722.49;178.7558;3630;62;463;1451;1654;881.6667;.6592808;.2428834;.072306;.039698;.031096;.21758;.061153;.177127;.065879;.11758;.119754;.025425;.022779;.026938;.012949;.009735
7;2019;5819;64;4.903691;29.88668;1.454746;8458.867;51554.53;2509.437;4138;59;768;1546;1765;1041;.7111188;.2515708;.088297;.03146;.0305;.195165;.061559;.183397;.071005;.127682;.114713;.034902;.018812;.024416;.013609;.004483
8;2015;3037;51;4.501986;22.74372;2.524628;7765.925;39232.93;4354.984;2216;35;239;1027;915;730.8333;.7296674;.3297984;.110718;.065792;.080502;.254732;.085519;.134778;.084493;.084721;.042873;.020753;.015621;.015507;.002737;.001254
8;2016;3105;51;5.742149;27.16222;2.606124;9905.207;46854.83;4495.564;2241;32;231;979;999;810.6667;.7217391;.3617433;.127981;.058902;.075247;.248355;.089124;.142578;.081003;.080284;.040399;.022924;.010999;.017887;.002775;.001542
8;2017;3090;49;6.210514;39.90195;4.3499;10713.14;68830.87;7503.578;2229;32;228;973;996;914.5833;.7213593;.410311;.130023;.048565;.060774;.250023;.100774;.117175;.077904;.091207;.053394;.027244;.017677;.01713;.005831;.002278
