region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
4;10;1;85;18;2;43;0;14
4;10;2;14;4;3;11;0;8
4;10;3;192;72;158;151;0;265
4;11;1;12;10;1;10;0;4
4;11;2;10;1;2;5;0;9
4;11;3;140;70;108;63;1;311
4;12;1;65;10;3;32;0;16
4;12;2;16;5;3;12;0;12
4;12;3;155;47;105;133;3;338
4;13;1;32;14;1;25;0;31
4;13;2;8;3;0;4;0;22
4;13;3;100;32;37;47;1;456
4;14;1;49;17;2;40;0;25
4;14;2;6;0;0;4;0;14
4;14;3;61;22;29;18;0;358
5;1;1;861;112;14;9;0;0
5;1;2;278;60;7;0;0;0
5;1;3;2092;468;191;1;0;1
5;2;1;289;43;4;3;0;0
5;2;2;60;18;0;1;0;0
5;2;3;636;143;76;0;0;0
5;3;1;42;8;6;11;0;0
5;3;2;15;2;3;0;0;1
5;3;3;182;37;74;1;0;2
5;4;1;210;127;14;3;0;0
5;4;2;106;74;12;2;0;0
5;4;3;1041;536;315;0;0;5
5;5;1;508;29;18;41;0;2
5;5;2;37;17;18;7;0;2
5;5;3;456;140;163;4;0;3
5;6;1;25;9;9;6;0;2
5;6;2;11;10;14;1;1;1
5;6;3;354;141;321;9;2;28
5;7;1;276;24;17;27;0;4
5;7;2;25;9;17;17;0;3
5;7;3;376;172;256;15;2;15
5;8;1;16;10;12;6;0;2
5;8;2;8;5;9;1;0;6
5;8;3;283;150;390;29;10;92
5;9;1;76;78;12;17;1;19
5;9;2;30;37;13;3;0;12
5;9;3;225;172;173;14;9;149
5;10;1;35;12;2;11;1;7
5;10;2;2;3;4;12;2;8
5;10;3;146;73;212;13;17;227
5;11;1;5;5;0;2;0;5
5;11;2;2;3;1;1;2;7
5;11;3;74;32;91;5;36;244
5;12;1;91;11;1;10;1;16
5;12;2;1;2;1;5;0;5
5;12;3;79;44;92;17;24;197
5;13;1;11;18;2;9;3;29
5;13;2;6;3;0;1;1;14
5;13;3;52;13;37;2;18;284
5;14;1;40;23;3;9;4;10
5;14;2;0;1;1;0;1;14
5;14;3;35;14;19;4;28;222
6;1;1;2537;567;12;127;1;18
6;1;2;765;280;12;7;0;0
6;1;3;6747;3714;469;18;0;11
6;2;1;898;194;2;32;1;2
6;2;2;254;88;1;3;0;0
6;2;3;2260;1175;104;7;0;5
6;3;1;226;31;6;184;3;23
6;3;2;69;27;10;35;0;6
6;3;3;526;248;107;28;0;22
6;4;1;1004;746;17;58;0;11
6;4;2;552;383;28;14;0;1
6;4;3;5348;4727;962;44;0;30
6;5;1;865;120;9;414;10;57
6;5;2;108;52;8;50;0;19
6;5;3;1169;985;208;83;1;55
6;6;1;163;75;10;126;4;70
6;6;2;96;50;14;71;0;51
6;6;3;1507;1421;595;328;8;388
6;7;1;540;77;8;308;1;38
6;7;2;70;49;10;100;0;17
6;7;3;1115;869;185;191;3;146
6;8;1;49;36;3;92;3;90
6;8;2;52;17;7;62;1;65
6;8;3;1236;1087;504;729;13;871
6;9;1;350;426;14;138;5;207
6;9;2;160;178;11;36;2;109
6;9;3;1374;1534;296;344;16;1227
6;10;1;158;37;1;143;1;41
6;10;2;21;21;1;17;1;38
6;10;3;519;485;109;184;19;1152
6;11;1;37;16;2;45;2;47
6;11;2;15;13;1;3;1;29
6;11;3;502;456;87;97;20;1252
6;12;1;107;34;3;104;2;53
6;12;2;15;8;3;25;0;51
6;12;3;527;481;113;145;17;1405
6;13;1;80;64;2;61;6;182
6;13;2;40;23;2;10;4;113
6;13;3;489;409;75;74;43;2409
6;14;1;122;86;1;124;11;171
6;14;2;9;11;0;8;2;57
6;14;3;278;300;28;27;17;1440
7;1;1;503;105;4;5;0;0
7;1;2;114;55;1;0;0;0
7;1;3;1097;318;56;0;0;0
7;2;1;226;30;1;1;0;0
7;2;2;53;25;0;0;0;0
7;2;3;356;106;24;0;0;0
7;3;1;50;3;0;16;1;0
7;3;2;10;2;1;1;0;0
7;3;3;78;19;24;2;0;0
7;4;1;199;134;7;3;0;0
7;4;2;76;84;3;3;0;0
7;4;3;635;504;159;1;0;0
7;5;1;387;44;8;37;2;2
7;5;2;32;17;7;7;0;0
7;5;3;211;94;35;7;0;4
7;6;1;25;11;8;7;0;2
7;6;2;18;9;5;5;0;1
7;6;3;234;154;154;38;1;8
7;7;1;235;21;5;43;0;4
7;7;2;22;9;3;13;0;1
7;7;3;213;106;45;31;1;6
7;8;1;14;4;2;9;0;3
7;8;2;9;8;4;11;0;2
7;8;3;228;143;119;108;0;29
7;9;1;66;94;14;28;1;11
7;9;2;30;26;8;8;0;8
7;9;3;165;199;96;63;1;48
7;10;1;62;10;2;25;0;8
7;10;2;10;7;1;6;0;5
7;10;3;103;47;33;34;2;158
7;11;1;18;13;0;3;1;15
7;11;2;2;4;0;1;0;6
7;11;3;58;44;26;18;1;195
7;12;1;64;12;2;13;0;9
7;12;2;2;6;0;6;1;10
7;12;3;67;60;28;26;2;227
7;13;1;11;13;2;9;0;20
7;13;2;4;4;0;0;0;13
7;13;3;46;39;23;12;1;220
7;14;1;29;26;1;15;0;16
7;14;2;2;2;0;0;0;10
7;14;3;29;14;3;5;0;190
8;1;1;533;116;1;3;0;0
8;1;2;161;60;1;0;0;0
8;1;3;753;295;79;1;0;0
8;2;1;159;49;1;0;0;0
8;2;2;45;17;2;1;0;0
8;2;3;226;73;39;0;0;0
8;3;1;33;4;0;1;0;0
8;3;2;8;0;1;0;0;0
8;3;3;52;16;32;7;0;0
8;4;1;125;92;8;0;0;0
8;4;2;50;42;3;1;0;0
8;4;3;362;309;244;4;0;1
