region_id;annee;nb_usagers_none;nb_usagers_svc;iso_smaf1_none;iso_smaf2_none;iso_smaf3_none;iso_smaf4_none;iso_smaf5_none;iso_smaf6_none;iso_smaf7_none;iso_smaf8_none;iso_smaf9_none;iso_smaf10_none;iso_smaf11_none;iso_smaf12_none;iso_smaf13_none;iso_smaf14_none;iso_smaf1_svc;iso_smaf2_svc;iso_smaf3_svc;iso_smaf4_svc;iso_smaf5_svc;iso_smaf6_svc;iso_smaf7_svc;iso_smaf8_svc;iso_smaf9_svc;iso_smaf10_svc;iso_smaf11_svc;iso_smaf12_svc;iso_smaf13_svc;iso_smaf14_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;nb_en_attente_inf_m30j;nb_en_attente_inf_31_90j;nb_en_attente_inf_p90j;nb_en_attente_avq_m30j;nb_en_attente_avq_31_90j;nb_en_attente_avq_p90j;nb_en_attente_inf;nb_en_attente_avq
6;2017;28135.5;20793.83;.312864;.114197;.024326;.215949;.061284;.058357;.047452;.036718;.054608;.021127;.013749;.016435;.012472;.010461;.217228;.071756;.016107;.286455;.054423;.071772;.043983;.044761;.096375;.023961;.019253;.020751;.01664;.016535;915060.2;2129582;209536.8;649.3516;1463.349;143.9839;.6938547;.159082;1409.191;1455.279;201;28;23;57;27;43;252;127
6;2018;28429;21817.67;.312307;.111239;.024972;.213086;.06751;.056805;.050866;.035633;.052526;.020941;.012991;.016442;.013844;.010837;.216946;.073358;.016011;.287386;.053046;.070043;.045911;.047133;.09477;.023078;.018376;.020752;.017631;.015561;1049853;3230460;338890;729.3427;2197.644;230.543;.6974131;.3932511;1439.451;1469.965;100;29;14;21;11;4;143;36
6;2019;28392.67;22164.67;.325712;.109342;.026935;.207941;.066831;.05271;.051207;.034909;.051375;.018881;.012861;.016477;.013877;.010942;.224407;.072431;.014584;.278164;.05658;.067912;.046734;.04961;.093614;.02216;.018889;.02046;.018389;.016065;1114197;3237195;340687.3;756.6432;2148.645;226.1266;.7111862;.3886097;1472.552;1506.622;690;326;199;121;143;224;1215;488
7;2015;4293.417;2633.667;.309427;.111081;.021525;.174434;.104831;.048407;.065798;.038179;.050795;.021059;.010792;.018653;.012306;.012713;.224402;.078281;.022276;.27563;.060182;.064675;.052525;.042052;.101949;.022655;.013701;.016643;.013163;.011866;100633.9;75869.59;10740.12;69.90311;52.24711;7.396115;.7189409;0;1439.619;1452.13;0;0;0;0;0;0;0;0
7;2016;4414.833;2612.083;.333799;.111027;.020235;.170014;.098833;.044471;.071747;.035921;.040168;.019631;.010476;.019838;.01176;.01208;.217515;.082661;.016366;.273313;.055384;.065561;.055607;.042814;.103238;.025522;.016462;.018791;.016111;.010656;94044.52;77844.27;9198.93;63.93038;54.93948;6.492249;.7109498;0;1471.046;1416.909;23;4;0;59;60;77;27;196
7;2017;4852;2537;.319696;.102518;.020507;.162905;.105472;.046201;.081925;.037098;.047575;.023341;.012435;.020851;.008879;.010597;.211667;.073512;.014091;.286526;.0518;.063329;.053442;.046512;.105932;.024504;.015307;.025292;.0135;.014584;97954.48;74925.25;7017.493;65.81971;56.59561;5.30074;.6959959;0;1488.224;1323.87;6;6;7;26;45;3;19;74
7;2018;5160.417;2673.917;.31325;.10847;.023722;.166621;.107404;.042196;.083278;.03648;.042503;.022899;.010884;.023771;.007994;.010529;.205254;.067878;.013837;.280332;.056284;.063546;.056783;.047683;.105962;.025337;.021535;.021348;.017795;.016424;101664.2;142346.9;7663.745;68.46465;103.6389;5.579761;.6985346;.1300611;1484.916;1373.49;5;2;7;14;29;67;14;110
7;2019;5039.667;2643.667;.318953;.11517;.02391;.152044;.117385;.041355;.078378;.036428;.040942;.026324;.011161;.020339;.008383;.009227;.189951;.070577;.012325;.279725;.05945;.063989;.058221;.056582;.110768;.024871;.017022;.024682;.015288;.016549;105842.2;172802.4;52793.98;74.03941;128.1383;39.14837;.7251409;.4418277;1429.539;1348.561;21;16;9;34;31;4;46;69
8;2015;3180.667;1623.5;.422108;.12031;.027536;.125996;.104485;.030549;.071133;.021563;.025152;.014698;.005607;.014331;.005816;.010716;.33821;.097731;.02587;.255005;.051483;.046556;.058926;.034699;.046812;.016887;.004825;.013192;.005236;.004568;49762.18;49512.7;69491.13;34.01881;32.51914;45.64066;.6567111;0;1462.784;1522.571;0;0;0;0;0;0;0;0
8;2016;3319.917;1719.417;.417706;.13055;.028214;.118602;.102211;.026858;.080198;.018801;.023394;.017395;.00374;.014408;.006275;.011647;.32608;.108709;.023167;.250715;.058014;.040081;.055009;.033199;.052489;.016527;.007755;.015994;.005671;.006591;50564.23;59510.29;71940.27;33.57171;39.85476;48.17927;.6509982;0;1506.156;1493.179;7;4;0;16;9;4;11;29
