region_id;iso_smaf;gr_age;prob_0_0;prob_0_1;prob_0_2;prob_0_3;prob_0_4;prob_0_5;prob_1_0;prob_1_1;prob_1_2;prob_1_3;prob_1_4;prob_1_5;prob_2_0;prob_2_1;prob_2_2;prob_2_3;prob_2_4;prob_2_5;prob_3_0;prob_3_1;prob_3_2;prob_3_3;prob_3_4;prob_3_5;prob_4_0;prob_4_1;prob_4_2;prob_4_3;prob_4_4;prob_4_5;prob_5_0;prob_5_1;prob_5_2;prob_5_3;prob_5_4;prob_5_5
16;1;3;.9669409;.0264663;.0060561;.0001567;.0000902;.0002897;.0297534;.9589575;.010672;.0003146;.0000968;.0002057;.031486;0;.9668586;.0005863;.0002069;.0008622;.0142857;0;.0035714;.9714286;0;.0107143;.1052632;.1052632;0;.1052632;.2894737;.3947369;.0162338;0;.0097403;.0032468;0;.9707792
16;2;1;.9886684;.0107321;.0001799;.0003597;0;.00006;.0346554;.9629407;.0018029;.0004006;0;.0002003;.0609756;0;.9390244;0;0;0;.0318258;0;0;.9681742;0;0;0;0;0;0;0;0;.2727273;0;0;0;0;.7272727
16;2;2;.9748126;.0230987;.0015972;.0001229;0;.0003686;.0344019;.9620798;.0035184;0;0;0;.0524017;0;.9475983;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
16;2;3;.9684467;.0258263;.0053213;.000078;.000078;.0002497;.0288942;.9596835;.0104916;.0003384;.0001269;.0004654;.0299035;0;.969037;.0001177;.0001177;.0008241;0;.0098039;0;.990196;0;0;0;0;0;.1111111;.7777778;.1111111;.005848;0;.005848;0;0;.9883041
16;3;1;.9786416;.0110109;.0034492;.0055718;.0006633;.0006633;.0273973;.9597099;.0104754;.0024174;0;0;.0174129;0;.9800995;.0024876;0;0;.0138744;.0010406;.0003469;.9847381;0;0;0;0;.0714286;.1428571;.7857143;0;.0161812;0;0;0;0;.9838188
16;3;2;.9635177;.0222734;.0107527;.0015361;0;.0019201;.0291971;.9430657;.0248175;.0014599;.0014599;0;.0149083;0;.9805046;.0011468;0;.0034404;.0107527;0;0;.9892473;0;0;0;0;0;0;0;0;.0384615;0;.0096154;.0096154;0;.9423077
16;3;3;.941752;.0319229;.0247113;.0005547;.0002017;.0008573;.0277563;.9402272;.0307255;.0005164;0;.0007746;.0176227;0;.9812025;.0002764;0;.0008984;.0080645;.0020161;.0020161;.9858871;0;.0020161;.2857143;0;0;0;.5714286;.1428571;.0213904;0;.0053476;0;0;.973262
16;4;1;.9649266;.0330343;.0012575;.0005778;.000034;.0001699;.0217626;.9738286;.0037991;.0004221;0;.0001876;.0193741;0;.9754099;.0029806;0;.0022355;.0093299;.0008482;.0016964;.9881255;0;0;1;0;0;0;0;0;.0583333;0;0;0;0;.9416667
16;4;2;.9522312;.0443995;.0026205;.0004492;0;.0002995;.0249865;.9701425;.0040592;.000451;.0000902;.0002706;.0325991;.0008811;.9647577;0;0;.0017621;.0074627;0;0;.9888059;0;.0037313;1;0;0;0;0;0;.0169492;0;0;0;0;.9830508
16;4;3;.9436649;.0418584;.0134988;.0003056;.0000611;.0006112;.0226797;.9625105;.0133684;.0003487;.0001046;.0009881;.0210398;.0000201;.976774;.0005014;.0003009;.0013639;.0042918;.0025751;.0008584;.9896995;0;.0025751;.0930233;.0465116;.0232558;.0930233;.4418605;.3023256;.0055741;.0033445;.0022297;.0022297;0;.9866221
16;5;1;.9900916;.0054145;.0008988;.0026086;.0003288;.0006576;.0349711;.9531792;.0075145;.0040462;0;.000289;.0231054;0;.9676525;.0083179;0;.0009242;.0156268;.0003499;.0001166;.9830904;.0001166;.0006997;.0735294;.0147059;0;.0588235;.7794118;.0735294;.0126316;0;.0014035;.002807;0;.9831579
16;5;2;.9607452;.0255045;.0086494;.0026613;.0006653;.0017742;.0232423;.959326;.0133643;.0034863;0;.0005811;.0102264;0;.982469;.0043828;0;.0029218;.0048123;.0009625;.0009625;.9923003;0;.0009625;.3333333;0;0;.3333333;.3333333;0;.0035714;0;0;.0071429;0;.9892857
16;5;3;.9408828;.0377231;.0175832;.001616;.0007236;.0014713;.0197339;.960166;.0159092;.001831;.0002848;.0020751;.0185586;0;.9758223;.0024229;.0004124;.0027838;.003672;.00204;.001224;.9902081;.001224;.001632;.0506329;0;.0253165;.1265823;.5189874;.278481;.0074074;.0014815;.0037037;.0037037;0;.9837037
16;6;1;.9649639;.0196655;.0038427;.0074593;.0015823;.0024864;.0214678;.9645532;.0074888;.0049925;.0004993;.0009985;.0196906;0;.9662447;.0042194;0;.0098453;.0051355;.0008559;.0008559;.9914408;.0002853;.0014265;.0526316;.0526316;.0526316;0;.6842105;.1578947;.0055188;.0022075;.0022075;.0033113;0;.986755
16;6;2;.9344886;.0448014;.0080304;.0084531;.0008453;.0033812;.0188883;.9649218;.011333;.0026983;.0005397;.001619;.0134409;0;.9798387;.0053763;0;.0013441;.0042766;.0014255;0;.9942979;0;0;.2857143;0;0;.1428571;.4285714;.1428571;0;0;0;.0018868;0;.9981132
