region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
3;3;2;.0015601;.0152439;.006689;.0013228;0;0
3;3;3;.0032742;.0134671;.0070326;.004779;0;.0057143
3;4;1;.003478;.0045977;.0023041;.0040816;0;.0074074
3;4;2;.0061386;.0099686;.0012453;.0056818;0;0
3;4;3;.0066016;.0126596;.0108234;.0024783;.05;.0105042
3;5;1;.0001765;.0036613;.0017467;.0013218;.3333333;.0030883
3;5;2;.0029608;.0096038;.0009074;.0027298;0;.0066225
3;5;3;.0028898;.0077397;.0069842;.0023734;.030303;.0272045
3;6;1;.0032485;.0102516;.0029369;.002189;.0714286;.004635
3;6;2;.008427;.0121457;.0096712;.0018315;0;.0132013
3;6;3;.0097184;.0153039;.0142311;.0066079;.0761905;.0284043
3;7;1;.0001159;.0041907;.0023202;.0013966;.0869565;.0053879
3;7;2;.0033238;.0106525;.009058;.0028665;0;.0258621
3;7;3;.00535;.0087507;.0091216;.0056022;.0253807;.0196532
3;8;1;.0035305;.0065147;.0039683;.0006188;0;.0072904
3;8;2;.0034072;.0304878;.0062112;.0039683;0;.0137174
3;8;3;.0090468;.0137788;.0125945;.0078668;.0329341;.0239282
3;9;1;.0049597;.0048928;.0042337;.0022222;.030303;.0067461
3;9;2;.0129422;.0159933;.0113422;.0080515;.04;.0119904
3;9;3;.0162947;.0202159;.0213757;.0118061;.0696517;.0290584
3;10;1;.0009477;.0066298;0;.0014616;.0909091;.011259
3;10;2;.0088945;.0232558;.015625;.0043478;0;.0153846
3;10;3;.0129627;.0198476;.0165143;.0111069;.0512129;.0281447
3;11;1;.0048497;.0020964;0;.0010858;0;.0129125
3;11;2;.0187793;.0137931;.0138889;0;0;.0335731
3;11;3;.0184393;.0284779;.0283246;.018711;.0654628;.0348403
3;12;1;.0002835;0;0;.0015558;0;.0121279
3;12;2;.0037879;.0347826;.011236;.0028329;.1666667;.0143369
3;12;3;.0147346;.0185639;.020643;.0118471;.0418719;.0318097
3;13;1;.0040627;.0075949;0;.0023202;.0526316;.0119721
3;13;2;.0206612;.0238095;.030303;.015;.010101;.0181708
3;13;3;.0221116;.0311864;.0373692;.0161031;.0472279;.0399256
3;14;1;.0022427;.0044793;0;.0041026;.0444444;.0136333
3;14;2;.04;0;0;.0179641;0;.023968
3;14;3;.0275883;.0403727;.0223214;.021978;.1042945;.0434524
4;1;1;.0012467;.00601;.0030395;.0018957;0;0
4;1;2;.0024069;.0103764;.0059952;0;0;0
4;1;3;.0015871;.0077484;.0077245;.0192308;0;.023622
4;2;1;.0025438;.0064648;.0036364;0;0;0
4;2;2;.0039761;.010582;.0125523;0;0;0
4;2;3;.0035282;.0123692;.0092018;.0117647;0;0
4;3;1;.0027592;.0152439;.0032967;.0028289;0;0
4;3;2;.0058824;.0133588;.0057389;.0061162;0;0
4;3;3;.0049997;.0135221;.0076824;.0034904;0;.0218978
4;4;1;.0033845;.0082122;.0038314;.0068493;0;0
4;4;2;.0055843;.0123671;.0106667;.0138889;0;0
4;4;3;.0063449;.012745;.0122836;.0246637;0;.0384615
4;5;1;.000565;.0033223;.0031217;.0021089;0;.011236
4;5;2;.0029851;.0023041;.00661;.0032328;0;.0454545
4;5;3;.0039432;.0091191;.007277;.0046988;0;.0329457
4;6;1;.0061437;.0093132;.0104012;.0037771;0;.021978
4;6;2;.0042254;.0166898;.007533;.0090634;0;.0526316
4;6;3;.008181;.0172786;.0144415;.0138228;.0833333;.041507
4;7;1;.0006656;.002442;.003003;.0010422;0;0
4;7;2;.0020801;.0052539;.0058224;.0070489;0;.0240964
4;7;3;.0048577;.010075;.0091624;.009426;0;.0284519
4;8;1;.0047923;.0044053;.0052632;.003009;0;.0273224
4;8;2;.0042735;.0241935;0;.0018657;0;.0169492
4;8;3;.0079303;.0119104;.0134468;.0119081;0;.028435
4;9;1;.0049759;.0059003;.0064034;.0059347;0;.0143617
4;9;2;.0131737;.0159744;.0098888;.0038139;.0454545;.0311987
4;9;3;.017392;.0220505;.0219646;.0181511;.0153846;.0356093
4;10;1;.0021209;.005071;.0054645;.002445;0;.010929
4;10;2;.0049834;.009009;.0119048;.0043103;.5;.0177515
4;10;3;.013735;.0195702;.0178939;.0124702;0;.0319243
4;11;1;.0065041;.0025707;0;.0071942;0;.0274914
4;11;2;0;.0408163;.0163934;.0245399;0;.0215311
4;11;3;.019641;.0285355;.0382545;.0248566;.0740741;.0390419
4;12;1;.0019928;.0056075;0;.0014164;0;.0080775
4;12;2;.0023753;.005814;.0217391;.0068729;0;.0120643
4;12;3;.0131932;.0171149;.0233733;.016876;.0212766;.0341335
4;13;1;.0046113;.0056738;.0093458;.0044944;0;.0119891
4;13;2;.0093168;.0162602;0;.0160772;0;.0260366
4;13;3;.0250951;.0441696;.0392283;.034188;.0131579;.0394789
4;14;1;.0030475;.0052687;.019802;.004014;.0153846;.0192604
4;14;2;.010929;.0434783;.0714286;.010929;0;.0313779
4;14;3;.032805;.0343879;.0439024;.0308555;.0769231;.0370768
5;1;1;.0006569;.0043573;.004008;.0019011;0;0
5;1;2;.0011522;.0111732;.0074627;0;0;0
5;1;3;.0015699;.0084541;.0082909;.0384615;.25;.0068027
5;2;1;.0010726;.0088983;.0045455;0;0;0
5;2;2;.0023543;.0110803;0;0;0;0
5;2;3;.0020274;.0127517;.0100988;0;0;.0153846
5;3;1;.0010331;0;0;.0088106;0;0
5;3;2;.0038412;.0143885;.0081301;0;0;0
5;3;3;.0023644;.0116906;.0098275;0;0;.0227273
5;4;1;.0043427;.0055991;.0023895;0;0;0
5;4;2;.0077473;.0119321;.0057887;0;0;0
5;4;3;.004734;.0130217;.0112966;0;0;.0126183
5;5;1;.0003328;.0044004;.0030426;.0012573;0;.0087336
5;5;2;.0027397;.0048077;.0075;0;0;.0285714
5;5;3;.0025364;.0096792;.007801;.0157068;.2;.0102041
5;6;1;.0036496;.0190476;.0069124;0;.0555556;.0328947
5;6;2;.0078616;.004662;.0081136;.015873;.0714286;.0804598
5;6;3;.0082233;.0148357;.01499;.0121212;.027972;.0429293
5;7;1;.0002767;.0042918;.0012195;.001108;0;.0106383
5;7;2;.0046041;.0068027;.0052265;.0049751;0;.0154639
5;7;3;.0040249;.0092736;.0091988;.0061256;.0344828;.0366599
5;8;1;.0044843;.0058651;.0088235;.0058651;.0333333;.0108696
5;8;2;.0075;.0183486;.012605;.0142857;0;.0174419
5;8;3;.0074709;.0136791;.0132875;.0097561;.0398126;.0283348
5;9;1;.0037594;.0091964;.0090791;.0034924;.025641;.0121951
5;9;2;.0138383;.01571;.0094162;.015544;0;.0161031
5;9;3;.0122234;.0201113;.0186062;.0151899;.0526316;.0374309
5;10;1;.0026413;.0047226;.005;.0030534;0;.0108025
5;10;2;.0179372;0;.0152672;.0066519;.0229885;.0049505
5;10;3;.0130919;.0169541;.0152246;.016269;.0417071;.0403232
5;11;1;.0184332;.0035971;0;.0055556;0;.0203488
5;11;2;.0275229;.0136054;.0444444;0;.031746;.0292398
5;11;3;.0238795;.0299169;.0302537;.0262467;.0423561;.0430502
5;12;1;.0008321;.0060241;.0166667;0;0;.0093708
5;12;2;.0197368;0;0;.0047393;0;.0179487
5;12;3;.0156908;.0190981;.0180255;.0115512;.0369844;.0386458
5;13;1;.0015552;.003881;0;.0076923;.0094787;.0114943
5;13;2;.0441989;.0192308;0;0;0;.020339
5;13;3;.0203704;.0367197;.0332168;.037037;.045584;.0407956
5;14;1;.0005325;.0030143;0;.0019011;.0215517;.0144578
5;14;2;.0277778;.0952381;.0833333;0;.0285714;.0214797
5;14;3;.0233161;.059448;.0465116;.027027;.0366782;.0422081
6;1;1;.0014104;.0074076;.0042194;.0007424;0;0
6;1;2;.0024367;.0076305;.0051813;.0033113;0;0
6;1;3;.0019829;.0073925;.0069281;.0127168;0;.0045872
6;2;1;.001876;.0079384;0;.0011242;0;.0069444
6;2;2;.0032792;.0089006;.0030675;.0049505;0;0
6;2;3;.002906;.0106553;.0091202;.0076923;0;.0081301
6;3;1;.0021204;.0085227;.0036765;.0018199;.01;.0026906
6;3;2;.0035556;.0122605;.0053571;.0013414;0;.0045767
6;3;3;.0037254;.0106077;.0088881;.0104423;0;.0072874
6;4;1;.0035992;.0067953;.0042918;.0036054;.0625;.0101302
6;4;2;.0050733;.0098834;.0081633;.0028944;.1;.010101
6;4;3;.0046423;.0111025;.0112783;.0171657;.03;.0070243
6;5;1;.0008403;.0050822;.0102564;.0010679;.003125;.003544
6;5;2;.0027248;.0078518;.0033278;.0027125;.030303;.0114068
6;5;3;.003597;.0088771;.0085462;.0043598;.014218;.020592
6;6;1;.0048426;.0114763;.0022026;.0029806;.0141243;.0071346
6;6;2;.0048613;.0071942;.0064767;.0063849;.0175439;.0175153
6;6;3;.0068385;.0135232;.0136433;.0093223;.0150376;.0264753
6;7;1;.0009621;.0038486;0;.0012166;0;.0069041
6;7;2;.0054771;.0063748;.005848;.002972;0;.0099693
6;7;3;.0044035;.00739;.0076644;.0071982;.0093023;.0213481
6;8;1;.0038023;.0084801;0;.0025969;.0067873;.0036232
6;8;2;.0044444;.0107271;.0063898;.0036728;.014218;.0087447
6;8;3;.0076258;.0114125;.0125968;.0087648;.0148002;.020489
6;9;1;.0050427;.006494;.0054274;.0021745;.0062735;.0101279
6;9;2;.0096592;.0113473;.0066778;.0046083;.0157895;.0136408
6;9;3;.0103988;.0166063;.0146012;.011904;.0282326;.0248479
6;10;1;.0015556;.0050137;0;.0007179;.003861;.0053601
6;10;2;.0017575;.0115063;0;.0031447;0;.0102992
6;10;3;.0087566;.013296;.0112313;.0083324;.0206795;.0267818
6;11;1;.0044543;.0097009;0;.0017794;.0069444;.0052016
6;11;2;.0119658;.0177112;.025;.0091743;.0140845;.0190007
